account_number,aba,bic,opened,balance
NBCO54745025798434,018300572,CZBFGBMJ,2015-09-30,193524
NGDZ11349481698817,023139482,FZBSGBFGLLT,2018-10-17,1741896
DUHM53505808138706,058165845,YRPRGBMO,2009-03-27,1404799
QHHP48115603395993,014856156,LNFJGB0I6E6,2004-03-14,628154
JUBC08083996957383,072236145,UWCRGBVJ0GQ,2004-10-19,1713181
EZNX78624597896927,026490490,NSDZGBN1,2011-12-19,779119
EBXC86996481079918,093414878,PJWNGBOE8LA,2015-09-28,1662315
DTAA80097655593923,089766941,DQNIGB78S8A,2019-08-28,1019936
HZRF85997297593949,029940057,YYMTGBKA,2011-02-23,1491960
CAJJ14543617692991,085454215,BRGDGBVU,2019-10-03,147347
AVAG92531486325361,096619696,CIHIGBPQ,2010-03-13,1723981
NDMW99809059841400,014435205,CDFTGBI8,2003-04-11,928697
LNRS80479853210478,045397082,REHLGBOJUAI,2019-05-11,1415580
SIYF83510039634175,108206502,HELOGBI5KNN,2001-05-01,253572
BSSF77083974093519,116150446,LFJBGB0N3SM,2009-11-01,958397
IIRZ20372366440860,115974416,NXXVGBZ3,2015-05-27,287118
WQVY58974461456618,039903000,WDQKGBSTCPO,2010-02-16,1297144
GVHF11256482851562,070824685,JWGHGBSJOYM,2018-06-17,384680
RYSE13629360448366,067944219,HNBSGBFK,2004-09-16,22756
WECA99287568941988,032911785,XBAOGB33DY6,2005-08-12,942128
MJJP58668199167346,066155326,CPOWGBN3,2003-01-29,905317
HSUZ64261939350345,037462789,HVZDGB1J7VK,2018-07-15,944483
PSOP92527416254433,117640269,TKFSGB4RQD9,2021-04-13,1095877
EQGW26757856195977,091896634,EMLWGBXG1R9,2016-11-11,1470785
GBLW59025437994089,061684944,CTHVGBRN,2019-04-30,1346474
UPZO43149377472134,050506541,AFGHGBJ92KM,2000-05-20,1658083
LLLO79906381032437,122805361,UKJTGBXHUGE,2020-03-08,1250256
TBLL03544800987597,097488062,VZJZGBTN,2002-06-20,919138
NAFE61749596617162,114724861,LHOHGBOV149,2013-07-30,708934
HXFQ12564048274120,076675692,XCTSGBP7,2007-07-21,1303986
FLET47856023098762,124521122,MTZVGB7G,2017-03-27,1173216
EVKS46037444804097,103799438,KAMGGBEY8RX,2018-07-09,1782631
TUFR88512446216480,116526180,LEQWGBDH,2011-04-26,1625863
EOSU12038122342012,105361262,BITDGBCXAOB,2015-02-14,1619347
YFNP78839034771895,074804999,OIHOGB302MJ,2016-04-19,1494125
QHNI70616793966762,118712426,KRNUGBMAMVJ,2014-10-04,1825639
SEHS55859930488820,115214697,OFZDGBP0NUZ,2006-11-16,1261068
GLUP78927962967444,048906221,TMYRGBU6A4S,2018-08-06,1638858
VGBA38862327430934,125431677,BUCPGBM4XDH,2013-08-26,1153563
RPEI26011913279094,014014930,LMWCGBUU,2016-09-19,977658
JQXP84106068237144,038831911,KUKDGBPAAT7,2002-04-26,1545323
FNKR42672934014473,114954165,JFRPGBET,2014-02-18,784357
VWLT49023152624219,060791278,JOGAGBYYD6M,2022-02-23,1897970
AGGX09972547343211,022587161,XVBAGB2B,2009-02-04,388628
BOUS12330347623326,116331870,XJKMGB9J872,2017-12-21,1072605
HTFU00121023230422,129062819,WPQHGBNA38K,2016-11-25,1990715
LFVE53201191303884,048489971,JZKCGB30,2000-08-16,1340638
ROQE94730437106558,091668260,ITFIGB1Y,2001-10-19,952529
JBJF62898335579566,035130327,IFOBGBDEM86,2006-07-25,1199014
FEDQ75526457704631,063675168,ZDJXGBF3OUA,2005-05-25,1976718
OAAQ38847726371427,050382354,ULTCGB0QIGU,2018-04-08,1084616
LCKX44383974763100,105818427,MULBGBII,2010-06-15,1908871
IGSR74027291756962,105384375,FIQHGBGO20C,2011-05-20,916203
QQMF94564997497927,076161407,IJKMGBMRR96,2015-12-30,1101589
DHKJ34213878430730,029814099,HWIGGBPW,2015-05-10,1768497
LWMM63404598042048,099159182,NOOMGBNX,2011-03-04,1206737
XHQT98808591299526,060346791,VMVRGBRI,2019-09-22,1394598
DEEA31718249683249,032190069,BUXHGB8Y,2008-01-18,623570
PIOM22844681149553,058830219,WMZBGB46HQX,2015-01-07,1966855
SAZW35385145810147,113514564,KPSOGB0G,2000-09-05,1659790
FKCB43959312496430,121213200,FPWVGBU3,2017-08-01,1917403
FSCD51172111194677,035685759,QHFJGBO5,2016-04-19,380335
AVET91992290466567,091472760,PGFHGBMXGD2,2021-10-09,1434804
JDML60615229898451,104114766,PHRZGB5WHY1,2009-02-28,1957439
PTFX77440045170759,055218999,FVVFGBXT,2003-10-01,516260
HSUQ81625447569751,123043944,PHWMGBM2,2014-03-15,395943
UEYF11488658276437,090683039,APUFGBQGBW2,2000-11-04,942451
UEIP09923430073858,113980282,VTOLGBWKLFK,2000-04-16,32958
ADMN85803625046254,065925049,DMKWGBAP,2004-11-24,120483
USVL06321876439789,095128201,TFMQGB1T,2021-07-23,1566637
BRSW74365075241846,026090939,BVDSGBFX,2011-07-09,98028
TQFP90119274366206,085776773,YQZOGBZZTTM,2012-10-19,1857043
UYYP92259162124233,011489063,VXJHGBB1EKQ,2015-08-03,1684021
ESNK48853391682069,109836560,QRLQGBPU8FM,2005-03-29,1954840
FSWL37899080834665,109337687,BTYLGB2TV9N,2000-10-28,358429
UHDB13872443740549,043171572,HNZBGBSRY7S,2010-01-17,185078
HBVX02777158480236,057226329,ZTMEGBC9,2004-01-05,435727
ASXA57936744180824,103803230,DHFUGB4AX1N,2008-07-26,1132285
ZSMB45086879978016,019456344,BIORGBRPZBR,2015-12-30,358525
MTLS04503105226797,122062900,TMBXGBAADNY,2004-04-07,768383
SHNG11803320432777,046604253,TQZEGBRKLXS,2000-07-02,170374
WHMF55215239302863,044950873,PLCVGB68PKZ,2013-10-14,1515130
RZOF59166070777136,110994103,MXCTGBRL,2022-08-03,338253
OWMY91989733727126,033236728,JMOCGBQL9JQ,2022-06-08,1839949
DOCU82667666006100,095212722,SXYGGBBNU1X,2007-07-19,1883255
CAHY68100393405200,037130299,SPLWGBSL,2002-06-05,203164
WAFR31463161820070,071878795,FQXEGBLUYJP,2016-02-18,50287
CAUA47298540395392,063699128,VUFIGB6RIPV,2017-05-31,1288552
PYGI65606132243642,058132933,RYSJGBQ0,2011-01-27,349941
IBGO51669093180573,016920226,JKWGGBG33KW,2011-05-04,1767940
GUKZ67495567989720,039598224,ZHZUGB2VQ4K,2011-04-27,1596990
ZUPW83730040578851,050033645,PVXAGBTW,2017-09-17,1844370
MUGM81378962516404,014424876,PCMSGBDRL1Y,2007-08-23,1577631
CYCZ62728999084313,061517817,DTMPGB9PZ4I,2016-10-23,1395368
FIWD34696419648415,061955673,XIZKGBF5,2018-07-10,589418
FZMH83463469137480,092560891,ZJHVGBIXCZM,2019-01-03,1555527
YQOM97162095734132,100660861,JIHGGBEZ,2002-02-14,960017
PRFJ70814793383043,072068614,EAKDGB9B49E,2007-09-07,1782968
WHRU20438939989532,069836655,URXJGBST4YA,2010-09-18,1391754
QLFX74300801654249,042292795,KESDGBDN,2009-03-19,1173777
WOTW67342546110932,011933946,BKUJGBVH,2017-10-10,69605
YHIW40356357092611,060702461,MEQAGB0R,2007-07-10,1846709
TOQQ79140810722635,060012368,QBEWGBGOQGK,2001-07-07,802840
MDMY99639587238568,064900230,UJJXGBZQ,2005-08-31,1954078
UTGL64835650657983,103229254,EXDYGBBO,2001-11-27,1354657
BWIE22635518060099,034760523,RVHBGBHLKTT,2017-01-10,1683372
KGCU70167344943353,055046174,INULGBCD,2001-07-22,1908084
HKTL03814001834710,120168518,FOFXGB1C8RN,2001-02-27,144268
DLHS72798073828591,046832313,SAWYGB6H,2019-12-28,1497486
LZWV87555553779533,055490885,UCCZGBG1,2009-02-12,268538
PXEW67208280017029,039884019,EBQVGBJB,2014-03-06,802142
KBZK75002104128146,033461506,CGFJGB272CP,2014-05-19,603938
XLWG40531228672899,098686805,IGFAGB6V,2011-11-06,1942279
OWHI93557775492278,087851612,VEUWGBXQ,2019-12-02,1279136
VVZZ25344032804931,032808474,YCGJGBB2,2022-04-26,1617347
COPX88017003783335,085471081,WGKLGBPIXDO,2009-03-25,1699370
OXWL45850464425917,027849121,AXBCGB8BHJY,2003-06-22,813417
KNLA77840498184902,093772264,SFLUGBG7,2020-06-19,1291060
ABDQ00374201238902,027252349,XWEYGBMI,2006-06-16,831476
QGKX29312577799360,017612371,DYKPGB1D,2008-05-14,1052869
MAFF23639911219930,095415257,ZBZUGB9RDSU,2006-06-05,314574
UHHU26829470875509,029627354,YHUDGBQEZYX,2017-06-25,308552
SLVL79117069021633,109731306,XLNCGB2A23O,2014-11-19,860407
NSMF59243031976673,043206751,GWIQGBHHAEZ,2019-10-26,1342354
WYDZ82430773082638,045094686,OPTNGBZI84R,2012-02-28,645767
ONOU45745774851913,095098742,NFAZGBIZEDE,2018-09-01,638287
RACX72666355767688,105089926,MSUFGBR0OV1,2016-01-29,1972995
QWRL62591002261057,054670622,KUSOGBEP,2019-09-17,725505
UKJK19660240974932,044725354,VWGPGBSEZ1I,2009-11-17,684804
CJZZ31718613771061,055496708,YLZOGBLH,2019-07-14,93735
GYLQ28485103662199,094291100,QDRDGBUO,2009-01-01,1268793
JQJJ03740972714094,088297408,CRROGBS2,2015-10-14,863927
QAJY78060515310725,075742649,YEMRGBHI,2012-12-12,1354092
VZAJ66148701008323,096656675,FJGXGBWJ1HO,2004-10-10,374492
SCNO99660847412587,032934597,WYHWGBK103D,2002-04-15,1035405
MIST77520227815862,113298796,LVDKGB7KRPL,2002-02-27,1835737
HJYH35561733508166,108451182,FNHJGB9J1RJ,2014-10-21,102328
MRAG25326135317794,129628512,QRNIGB11I0P,2015-01-22,553395
LDGJ44926539821324,053708595,WABPGBZEAUO,2020-09-09,385933
RSMS04899970007922,016697342,XEWBGBE0,2014-12-17,251086
ZGEY15826071448899,039166232,VINCGB0Y8RR,2015-10-02,1763945
UXSZ11584666637871,037065746,XKZGGBN5,2004-12-26,837401
YPEU79828595493914,040381996,ZSBVGBI6FCT,2021-08-01,45953
QOEJ50926303341387,066524258,VZVOGBERC8P,2013-06-20,936220
UPRO82924371400918,031246435,QKHBGBX0,2007-08-04,1545629
UIFE97596370551709,044572620,SQTBGB9G96R,2020-11-17,1856137
SYXO75046533825703,128775084,OTVFGBSK,2002-03-12,128788
YGRT34883291048693,090655038,WRXNGBASDES,2010-06-10,1003195
QHKS85486424760844,114983084,QOUYGBGTSVS,2018-12-10,1090949
IDMT00838658706523,045135545,AKDGGBVIC41,2016-11-07,488270
HVAB93472051552804,016623578,EHZNGBH2,2009-02-07,1714319
KZIK20688258327124,030230060,JNGYGBIW,2011-09-10,27120
QWHM13488357871369,108015492,IMVPGBXV4NX,2001-11-21,652995
ZSLP80016337554415,085126271,GQJBGBT9,2021-09-17,1741129
AFZC78268487716108,036736636,SLPTGBGT,2017-08-22,1716914
TEAB05447795556404,045653140,ZMUWGB99,2009-12-30,1443667
NNOD32594931900717,016336506,OJPTGBMV,2021-03-02,55848
RHSF82575072197271,088660035,QPCVGB998XM,2008-11-29,1931328
SKLF27796583105656,027107915,PTMKGBZVTT0,2009-07-17,371405
IBIN51140675316762,054921863,ELRMGBDYGF5,2017-07-05,28205
QIOV02534580351837,116249551,YOJCGB7BG0R,2012-01-23,957241
MOJH44378002430321,108015337,HNXCGBHB7K9,2017-10-16,1815446
AJCN60845342910450,032760127,OXRWGBML,2014-03-06,1301445
UJLX68733000680987,114103152,DXLTGBNIRQ5,2000-11-07,1930358
ABTI53115485734397,086395030,CUTVGBD3,2012-07-27,1469837
AROP32196726271509,032939440,DYGDGB5Y19X,2016-11-16,1134636
WISG52970624111996,097799421,OIAOGBAO2NW,2022-05-30,1295135
TTHG80729452249559,113771404,ARIXGBAB,2016-10-03,1791195
WHTD28968644552904,127417518,LSWCGBEXWGO,2018-08-17,784270
PUFI37723188991302,065982341,DNPBGBCBO4D,2014-11-23,383740
FNKA50425478065674,041947326,UQJQGBHK,2009-06-03,355289
MMVC91438945268046,056185649,BHJYGBO46FP,2009-05-02,296526
MLUS96102734416072,120038677,BASHGBRHHKU,2015-06-06,1491018
QGAW76732003034463,093223360,KXODGB0YJ6Z,2018-06-08,22292
SZLM59185370130069,061964266,DGJZGBI88GS,2010-09-17,1692896
SAJW55818286933182,057740410,GJCDGB9OPH7,2022-01-19,1182134
SYYM49879039862784,111153613,FLEUGBVN,2004-02-01,1981641
UGKW98971507019972,010375233,XQTGGBFRTN2,2020-08-02,126608
JDXJ61738682770861,087750302,NLXMGBHT,2006-12-22,1129794
RMEX96444002427640,095544348,RLZLGBVUOMT,2010-04-18,564170
SYGH94110778051891,079765842,FJFQGBUO,2001-10-02,1139089
WKPF49406744598887,118439071,HUXYGBYP3YJ,2009-10-17,672095
IMMT11622843425812,127737476,XASKGB8N,2003-07-04,245894
DVMS44104671424575,038771673,HROGGBZ3,2019-08-20,1274024
SZRL08169221884878,108364172,MKBYGB8SXZD,2015-11-05,94615
RAGC84774032552203,017654258,MKYLGBBSJVO,2001-02-10,1415168
MGRN35883431261832,010260063,OLIYGBZNTAP,2016-02-23,320875
OHXB81014773848618,102093203,UZDIGBOO,2010-01-23,808878
YXMC97306960868755,034623880,EEYHGBA2RQW,2021-07-23,1907925
XJPI49469780059343,089353286,HVWLGBOI,2001-05-18,1772608
QLRE95949017203347,047240742,KAZHGBWXO75,2008-01-31,580070
RGOM58126911496904,063654176,KFKNGBPL,2011-06-29,1749036
JHCX63227388678001,068134769,UTUFGB9SSW2,2006-01-24,226521
MGPR76032421628619,121378543,LDYTGBHA,2008-12-12,1586055
YJZX14470281651904,107281845,WUHJGBLDC3D,2009-10-24,1780446
HIGT95771154814624,075200851,OKEGGB0L,2020-10-29,1319178
SPZP71012877468899,107079219,IXWCGBKOYWF,2007-08-27,1743178
HNOV45466054676751,125266020,UGROGBQYQ7X,2016-01-20,1147114
OSNC23987426276765,056308604,FVJNGB9C,2002-04-08,407022
DJSX54501013361586,022748227,OFADGB49,2018-03-24,783365
JFHT70622826879489,107103800,KJOKGB0W,2001-12-06,1067298
TVZF53419150780050,085567131,KRLJGB6RBLI,2006-07-30,309975
JDHP61884808320756,108822436,TDCCGBC2,2020-01-21,267005
